name beta lci uci    
{\textbf{Hours per Week}} {}  {}  {} 
\citet{AngristEvans1998}  -4.59  -6.45 -2.72 
\citet{Angristetal2010}    2.35  -0.49  5.19
\citet{Caceres2006}       -1.24  -1.98 -0.50
\citet{AngristEvans1998}  -4.59  -6.45 -2.72 
\citet{Angristetal2010}    2.35  -0.49  5.19
\citet{Caceres2006}       -1.24  -1.98 -0.50
\citet{AngristEvans1998}  -4.59  -6.45 -2.72 
\citet{Angristetal2010}    2.35  -0.49  5.19

